阿鼻地獄　極端痛苦	"Avici Hell; 
Extreme sufferings."
"人天路上，作福為先
生死海中，念佛第一"	"Cultivating merits come first on the path of the human and heavenly realms;
Chanting the Buddha’s name is the priority in the sea of birth and death."
人我一如	1. Unity Between Self and Others; 2. Self and Others Are One
人我一體	no difference between the self and others
人有利鈍，法無頓漸	People have sharp or dull aptitudes but the Dharma is neither sudden nor gradual.
人中獅子	A Lion Among Humans
仁慈應世　福滿人間	"Face the World with Benevolence and Kindness;
Fill the World with Good Fortune"
仁政仁心	Benevolent Government, Benevolent Mind 
忍苦容易忍氣難	Easy it is to endure suffering but harder to tolerate being wronged.
忍辱柔和	Tolerance and Gentleness
"忍一口氣，風平浪靜
退一步想，海闊天空"	"A moment of patience leads to calm and peace; 
A step in retreat opens up a bigger world."
"日可令冷，月可令熱
佛說四諦，不可令異"	"The moon may turn hot and the sun may grow cold; 
But the Four Noble Truths will never change."
日日觀音	Always a Guanyin
榮的由他榮，枯的由他枯	"Let the one that is flourishing flourish;
Let the one that is withering wither."
肉邊菜	the vegetables in meat dishes
"入道要門，發心為首
修行急務，立願居先
願立則眾生可度，
心發則佛道堪成"	"The most supreme amongst the essential elements to entering the Way is the making of vows; 
the making of vows is foremost in the extensive and important task of cultivation.
Once vows are made, sentient beings can be ferried to the other shore; 
once there is initiative, buddhahood will be reached."
"入世重於出世
生活重於生死
利他重於自利
普濟重於獨修"	"To prioritize this-­worldly issues over other­-worldly transcendence.
To prioritize real life over birth and death.
To prioritize the greater good over the lesser good.
To prioritize universal deliverance over individual liberation."
若不成正覺，誓不起此座	I will not rise from this seat until I become awakened.
若見諸相非相，即見如來	If you see that all forms are not forms, then you see the Tathagata.
若要佛法興，除非僧讚僧	For Buddhism to flourish, monastics must mutually praise one another.
"若以諍止諍，畢竟不得止
唯忍能止諍，是法真尊上"	"Fighting disputes with disputes is a never-ending cycle.
Ending disputes with patience is the true display of Dharma."
若有一人未度，切莫自己逃了	Do not shirk duty if there is even a single person left unliberated.
三寶讚	Triple Gem Anthems
三稱念	Three Mindful Recitations
三個臭皮匠，勝過一個諸葛亮	Two heads are better than one.
三好家庭	Three Acts of Goodness Family
三好四給人間佛教文化節	Ninth Annual 3G4G Festival of Cultural Sharing
三淨肉	eating meat that fulfills the three pure conditions
三千大千世界	trichiliocosm
三人行必有我師	If three people are walking together, one of them must be good enough to be my teacher.
色不迷人，人自迷	There is nothing desirable in form, but people still lose themselves to desire.
色身交給常住，性命付給龍天	Entrust one’s life to the Dharma and devote one’s physical body to the monastery.
僧才	monastic talents
僧戒	monastic precepts
僧伽月	Sangha month
僧如大地，能長養一切善法功德	"The sangha is like the great earth. 
It nurtures all wholesome merit and virtue."
僧如看護	the sangha are like nurses
僧信共有	shared by both monastics and laity
僧信平等、男女平等	equality between monastics and laity and equality between genders
僧眾作品聯展	Joint Exhibition of Monastic Artworks
僧自恣日	Pravarana Day
山川異域　日月同天	"1. Though Mountains and Rivers Are of Foreign Lands; 
The Sun and Moon Are All Beneath the Same Sky.
2. across the mountains, streams, and foreign lands, the sun and moon, all beneath the one sky"
山水人生	1. The Landscape of Life; 2. A Life of Mountain and Water
善惡	1. good and evil; 2. Wholesome and Unwholesome
善根	1. Wholesome Roots; 2. Virtuous Root
善巧	1. Skillful; 2. Expedient Means
善巧方便	Skillful and Expedient Means
善聽	listen skillfully
善業惡報	karmic rewards and retributions
"善有善報，惡有惡報
不是不報，時辰未到"	"Wholesome actions lead to wholesome retribution, unwholesome actions lead to unwholesome retribution;
Say not that there are not retributions, it is only matter of time."
善知識	1. virtuous companion; 2. Virtuous Company
上求佛道，下化眾生	striving upwards for buddhahood, but also turning back to liberate sentient beings
燒年香	offering New Year incense
燒頭香	1. to burn the first incense; 2. offering the first incense
捨我其誰	Who Else But Me
"誰道群生性命微，一般骨肉一般皮 
勸君莫打三春鳥，子在巢中望母歸"	"Who is to speak of the insignificance of animal life; They are just the same flesh and bones.
You are urged not to shoot the spring birds, For the nesting babies await their mother’s return."
身苦心不苦	the body may experience suffering, our mind does not have to
"身是菩提樹，心如明鏡台
時時勤拂拭，莫使惹塵埃"	"The body is a bodhi tree, the mind is like a bright standing mirror;
Diligently clean it at all times, so it does not attract dust.
"
神明聯誼會學術會議	When Buddha Meets the Gods Event Academic Conference
生從何來，死到何處去	Where does life begin, and where will one go after death?
生佛一如	Oneness of Buddhas and Sentient Beings
生公說法，頑石點頭	When Master Daosheng expounds the Dharma, even stones would nod.
生活即是修行	daily life itself is cultivation
十方共有	belonging to the world
十方供養	offerings from the Ten Directions
"十方來，十方去，共成十方事
萬人施，萬人捨，同結萬人緣"	"From the ten directions they come, 
To the ten directions they go, 
By efforts of the ten directions, 
Affairs concerning the world are thus achieved.
From tens of thousands, the giving;
By tens of thousands, the contribution;
With the effort of tens of thousands, 
Universal connections are thus established. "
十年寒窗苦讀	It takes ten years of  perseverance to achieve academic success.
十年磨一劍	It takes ten years to polish a sword.
"十五上燈，十八落燈
十九算帳，二十動身"	"Lanterns are lit on the 15th day of the Lunar New Year and extinguished on the 18th. 
Scores are settled on the 19th and journeys begin on the 20th."
石中之火，不打不發	Fire within a stone can only be sparked when hit.
識自本心，見自本性	understands the intrinsic mind and realizes the intrinsic nature
世間無常，國土危脆	This world is impermanent and nations are dangerous and fragile.
世界一家	One World, One Family
世界最多佛像與神像同時聚集的全球多元宗教聯誼會	Global Multireligious Reunion Attended by the Greatest Number of Deities in the World
事相	phenomenon
首座	Head Seat
蔬食A計畫	Vege Plan A
"數點浮萍容不得
如何肚裡好撐船"	If one cannot tolerate even bits of duckweed, how can one be expected to hold a ship within the mind?
水懺法會	Samadhi Water Repentance Service
水陸法會	Water and Land Dharma Service
水陸無遮大會	Water and Land Dharma Service
絲路光華—敦煌石窟藝術特展	Silk Road Splendor: Dunhuang Cave Art Exhibition
四大不調	the Four Elements are unbalanced
四大堂口	Four Main Halls
"四化的理念
1. 僧信平等化
2. 佛法人間化
3. 生活書香化
4. 寺院本土化"	"Four Trends:
1. Equality between monastic and lay Buddhists;
2. Humanization of Buddhist Teachings;
3. Reading for Life;
4. Localization of Buddhist Monasteries"
四念處	Four Stages of Mindfulness
四維八德	Four Moral Standards and Eight Virtues
"四正勤
1. 未生惡令不生
2. 已生惡令斷除
3. 未生善令生起
4. 已生善令增長"	"Four Right Efforts:
1. To prevent unwholesome states that have not yet arisen;
2. To end unwholesome states that have already arisen;
3. To develop wholesome states that have not yet arisen;
4. To strengthen wholesome states that have already arisen."
寺院就是學校，住持就是校長	a monastery is a school and its abbot, the principal.
寺院是人生的加油站	A temple is life’s gas station.
宿因	Past Causes
隨犯隨制	each violation brings about a new rule
隨喜	1. to rejoice [in the welfare of others]; With Joy
隨喜功德	the merit of rejoicing
隨緣合眾	going with conditions and being in harmony with others
塔院	columbarium pagoda
台灣情　中國夢	Taiwan Heart, China Dream
泰華佛典翻譯中心	Thai-Chinese Buddhist Texts Translation Center
"泰山不辭土壤
大海不拒細流"	"Mount Taishan is the highest because it does not reject even the smallest heaps of soil;
The sea is deep because it does not block out any narrow streams."
彈指	1. to snap the fingers; 2. Click of the Finger
醍醐	1. clarified butter; 2. Butter and Cream
天地人	Heaven, Earth, and Humanity
天龍八部	the Eight Groups of Heavenly Beings
天上天下，唯佛最尊	The Buddha is the uniquely honored one in the world.
天堂路	1. road to heaven; Path to Heaven
"天下唯心，法界悠然
盡未來際，佛在心裡"	"The world is but a creation of the mind, so is the Dharma realm. 
Even into the infinite future, the Buddha will always be in my heart."
天有天道，地有地道，人有人道	Heaven, Earth, and Humanity each has its laws.
條條大路通長安	All roads lead to Rome.
鐵打常住流水僧	The monastery always stays, yet the monastics come and go.
頭陀	1. austerities; 2. Itinerant Monks
突吉羅	duskrta
退居老和尚	Retired Most Venerable Elder
退心	give up
托缽	beg for alms
萬般帶不去，唯有業隨身	"Upon death, there is nothing you can bring with you; 
Only karma follows wherever one goes."
萬佛法會	Ten-Thousand-Buddhas Dharma Service
萬佛沙彌戒	Ten-thousand Buddha Sramanera Precepts
萬貫家財，不及一技隨身	Millions in wealth cannot compare to a skill acquired.
"往昔所造諸惡業
皆由無始貪瞋痴
從身語意之所生
一切我今皆懺悔"	"All unwholesome karmas created in the past,
Are created by greed, anger, and ignorance,
Arising from physical, verbal, and mental deeds,
Now, for all of them, I shall repent."
未成佛道，先結人緣	"Before attaining Buddhahood, 
one must first develop good affinities."
未來與希望—雲講堂	Future and Hope: Cloud Lecture Hall
"為新型肺炎疫情
向觀世音菩薩祈願文"	“A Prayer to Avalokitesvara Bodhisattva for Safety from the Coronavirus Outbreak”
問訊	Bowing
問政不干治	to care about political affairs without interference
我不如老農，不如老圃	I cannot compare to the old farmer or the old gardener.
"我不入地獄，誰入地獄
地獄不空，誓不成佛"	"If I do not enter hell to liberate the beings there, who will? 
I shall not attain Buddhahood until hell is empty."
我不是「呷教」的和尚	I Am Not a Monk “Sponging Off” Buddhism
我是佛光山	I am Fo Guang Shan.
"我一輩子只做一件事，
就是把出家人做好"	Throughout my entire life, I have only focused on doing one thing, that is, to play the role of a monastic well.
無量光華	Infinite Light
無明為父、貪愛為母	Ignorance as one’s father, and greed as one’s mother.
無畏	1. fearless; 2. Fearlessness; 3. without fear
無我	1. selfless; 2. No Self
無緣大慈，同體大悲	Cultivate unconditional loving-kindness and universal compassion.
無諍	1. non-contention; 2. No Disputes
無住而住	1. abiding in non-abiding; 2. Abiding in Non-Abidance
"五常
1. 仁
2. 義
3. 禮
4. 智
5. 信"	"Five Constant Virtues:
1. Humaneness;
2. Righteousness;
3. Propriety;
4. Wisdom;
5. Integrity"
五大施	Five Mahadanas/Five Great Offerings
五福臨門	May the Five Blessings arrive at this home.
"五和
1. 自心和悅
2. 家庭和順
3. 人我和敬
4. 社會和諧
5. 世界和平"	"Five Harmonies:
1. Individual harmony achieved through joy;
2. Family harmony achieved through deference;
3. Interpersonal harmony achieved through respect;
4. Social harmony achieved through cooperation;
5. World harmony achieved through peace"
